NoGroupe6|NoCours|NomCours|NumeroLocal|idLocal|TypeDeLocal|DateDebut|HeureDebut|DateFin|HeureFin|NoJour|
000001|520344MA|Ateliers en arts visuels|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|12:00:00|2016-12-19|16:00:00|5|
000001|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|08:00:00|2016-12-19|11:00:00|1|
000002|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|14:00:00|2016-12-19|17:00:00|2|
000003|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|12:00:00|2016-12-19|15:00:00|3|
000003|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|11:00:00|2016-12-19|14:00:00|3|
000004|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|15:00:00|2016-12-19|18:00:00|4|
000005|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|12:00:00|2016-12-19|15:00:00|1|
000006|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|09:00:00|2016-12-19|12:00:00|4|
000007|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|09:00:00|2016-12-19|12:00:00|3|
000007|520CC2MA|Les arts du dessin|A4479|LOCAL D'ARTS|Laboratoire|2016-08-22|15:00:00|2016-12-19|18:00:00|3|
000001|401EEA03|Organ. matérielle d'un centre ou d'un service documentaire|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|15:00:00|2016-12-19|18:00:00|5|
000003|410115MA|Comptabilité commerciale|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|5|
000003|410115MA|Comptabilité commerciale|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|11:00:00|2016-12-19|13:00:00|1|
